Local time in East Boston (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,
29.04.2021 23:00,48.0,748.0,748.6,-2.0,89,Wind blowing from the north-northeast,5,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,50-100,,,1.6,45.0,7.0,3,,,,,
29.04.2021 20:00,49.0,750.0,750.6,-2.8,86,Wind blowing from the north-northeast,4,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,48.0,50.0,,,50-100,,,1.6,45.0,11.0,6,,,,,
29.04.2021 17:00,49.0,752.8,753.3,-1.8,90,Wind blowing from the east-northeast,3,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,50-100,,,3.2,46.0,7.0,3,,,,,
29.04.2021 14:00,49.0,754.6,755.2,-1.8,90,Wind blowing from the east-northeast,3,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,49.0,50.0,,,100-200,,,6.0,46.0,3.0,6,,,,,
29.04.2021 11:00,50.0,756.4,756.8,-0.5,86,Wind blowing from the north-northeast,3,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,50-100,,,2.4,46.0,Trace of precipitation,3,,,,,
29.04.2021 08:00,49.0,756.9,757.3,0.5,90,Wind blowing from the east,2,,,Sky obscured by fog and/or other meteorological phenomena.,Fog or ice fog in patches. ,,,48.0,,,,50-100,,,0.8,46.0,,,,,,,
29.04.2021 05:00,49.0,756.4,756.9,-0.5,83,Wind blowing from the north-east,2,,,100%, ,,,,,,,300-600,,,16.0,44.0,,,,,,,
29.04.2021 02:00,50.0,756.9,757.3,0.0,83,Wind blowing from the north-east,3,,,100%, ,,,49.0,57.0,,,1000-1500,,,16.0,45.0,0.3,6,,,,,
28.04.2021 23:00,50.0,756.9,757.5,-1.7,83,Wind blowing from the east-northeast,3,,,100%, ,,,,,,,1500-2000,,,16.0,45.0,0.3,3,,,,,
28.04.2021 20:00,52.0,758.6,759.0,1.5,75,Wind blowing from the north,5,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,50.0,58.0,,,600-1000,,,16.0,44.0,Trace of precipitation,6,,,,,
28.04.2021 17:00,52.0,757.1,757.7,-1.3,72,Wind blowing from the east-northeast,5,,,100%, ,,,,,,,2000-2500,,,16.0,43.0,,,,,,,
28.04.2021 14:00,56.0,758.4,758.9,-1.3,65,Wind blowing from the east-northeast,5,,,70 – 80%., ,,,51.0,58.0,,,1000-1500,,,16.0,44.0,,,,,,,
28.04.2021 11:00,54.0,759.7,760.0,0.6,77,Wind blowing from the east-northeast,4,,,70 – 80%., ,,,,,,,1000-1500,,,16.0,47.0,,,,,,,
28.04.2021 08:00,52.0,759.1,759.7,-0.3,80,Wind blowing from the east,3,,,100%, ,,,50.0,69.0,,,1500-2000,,,16.0,46.0,5.0,6,,,,,
28.04.2021 05:00,50.0,759.4,759.8,-0.3,83,Wind blowing from the south-southeast,2,,,100%, ,,,,,,,2000-2500,,,16.0,45.0,5.0,3,,,,,
28.04.2021 02:00,56.0,759.7,760.0,-0.2,51,Wind blowing from the south-southwest,2,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,45.0,68.0,,,2000-2500,,,16.0,38.0,Trace of precipitation,6,,,,,
27.04.2021 23:00,63.0,759.9,760.3,1.0,35,Wind blowing from the west-southwest,2,,,100%, ,,,,,,,1000-1500,,,16.0,35.0,,,,,,,
27.04.2021 20:00,67.0,758.9,759.3,0.3,28,Wind blowing from the west,3,,,70 – 80%., ,,,45.0,69.0,,,"2500 or more, or no clouds.",,,16.0,33.0,,,,,,,
27.04.2021 17:00,68.0,758.6,759.1,-1.6,23,Wind blowing from the west,4,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,29.0,,,,,,,
27.04.2021 14:00,60.0,760.2,760.6,-1.5,22,Wind blowing from the west-southwest,7,,,70 – 80%., ,,,48.0,61.0,,,"2500 or more, or no clouds.",,,16.0,21.0,,,,,,,
27.04.2021 11:00,52.0,761.7,762.1,-0.5,27,Wind blowing from the west,5,,,100%, ,,,,,,,"2500 or more, or no clouds.",,,16.0,19.0,,,,,,,
27.04.2021 08:00,48.0,762.2,762.7,0.5,29,Wind blowing from the west,4,,,100%, ,,,45.0,57.0,,,"2500 or more, or no clouds.",,,16.0,17.0,,,,,,,
27.04.2021 05:00,46.0,761.7,762.1,0.8,34,Wind blowing from the west,5,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,19.0,,,,,,,
27.04.2021 02:00,47.0,760.9,761.5,-0.5,37,Wind blowing from the west,7,,,50%, ,,,47.0,53.0,,,"2500 or more, or no clouds.",,,16.0,22.0,,,,,,,
26.04.2021 23:00,49.0,761.4,761.9,1.5,35,Wind blowing from the north-west,5,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,22.0,,,,,,,
26.04.2021 20:00,53.0,759.9,760.5,1.8,28,Wind blowing from the north-northwest,5,,,20–30%., ,,,47.0,57.0,,,"2500 or more, or no clouds.",,,16.0,21.0,,,,,,,
26.04.2021 17:00,56.0,758.1,758.6,0.5,26,Wind blowing from the west-northwest,9,12,,20–30%., ,,,,,,,1500-2000,,,16.0,21.0,,,,,,,
26.04.2021 14:00,54.0,757.6,758.2,-0.3,30,Wind blowing from the west-northwest,7,12,,20–30%., ,,,47.0,55.0,,,1500-2000,,,16.0,23.0,,,,,,,
26.04.2021 11:00,50.0,757.9,758.3,0.8,36,Wind blowing from the north-west,8,13,,20–30%., ,,,,,,,1000-1500,,,16.0,24.0,,,,,,,
26.04.2021 08:00,47.0,757.1,757.6,2.3,46,Wind blowing from the west-northwest,9,14,,20–30%., ,,,47.0,57.0,,,1000-1500,,,16.0,27.0,,,,,,,
26.04.2021 05:00,48.0,754.8,755.3,1.0,54,Wind blowing from the west-northwest,6,,,20–30%., ,,,,,,,1500-2000,,,16.0,32.0,,,,,,,
26.04.2021 02:00,51.0,753.8,754.3,0.0,66,Wind blowing from the west,7,,,50%, ,,,51.0,56.0,,,1500-2000,,,16.0,40.0,,,,,,,
25.04.2021 23:00,52.0,753.8,754.3,0.0,66,Wind blowing from the north-northwest,3,,,70 – 80%., ,,,,,,,1500-2000,,,16.0,41.0,,,,,,,
25.04.2021 20:00,53.0,753.8,754.2,0.7,61,Wind blowing from the north,4,,,50%, ,,,51.0,55.0,,,600-1000,,,16.0,40.0,,,,,,,
25.04.2021 17:00,54.0,753.1,753.6,-1.2,64,Wind blowing from the north-east,5,,,100%, ,,,,,,,300-600,,,16.0,42.0,,,,,,,
25.04.2021 14:00,51.0,754.3,754.9,-1.3,83,Wind blowing from the east,3,,,100%, ,,,50.0,56.0,,,1000-1500,,,16.0,46.0,3.0,6,,,,,
25.04.2021 11:00,53.0,755.6,756.1,-0.5,77,Wind blowing from the north,2,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,1500-2000,,,11.0,46.0,2.0,3,,,,,
25.04.2021 08:00,53.0,756.1,756.6,0.3,61,Wind blowing from the south-southwest,3,,,100%, ,,,51.0,74.0,,,"2500 or more, or no clouds.",,,16.0,40.0,,,,,,,
25.04.2021 05:00,52.0,755.8,756.4,-1.5,64,Wind blowing from the south-southeast,4,,,100%, ,,,,,,,"2500 or more, or no clouds.",,,16.0,40.0,,,,,,,
25.04.2021 02:00,56.0,757.3,757.9,-1.1,42,Wind blowing from the south-southeast,2,,,100%, ,,,50.0,69.0,,,"2500 or more, or no clouds.",,,16.0,33.0,,,,,,,
24.04.2021 23:00,61.0,758.4,758.9,0.5,31,Wind blowing from the south-west,7,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,30.0,,,,,,,
24.04.2021 20:00,69.0,757.9,758.3,0.8,21,Wind blowing from the west-southwest,4,,,100%, ,,,50.0,74.0,,,"2500 or more, or no clouds.",,,16.0,27.0,,,,,,,
24.04.2021 17:00,72.0,757.1,757.7,-1.0,18,Wind blowing from the west,7,,,50%, ,,,,,,,"2500 or more, or no clouds.",,,16.0,26.0,,,,,,,
24.04.2021 14:00,72.0,758.1,758.5,-1.0,19,Wind blowing from the west-northwest,4,,,50%, ,,,55.0,73.0,,,1500-2000,,,16.0,28.0,,,,,,,
24.04.2021 11:00,66.0,759.1,759.7,0.0,28,Wind blowing from the west-southwest,4,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,32.0,,,,,,,
24.04.2021 08:00,55.0,759.1,759.7,1.0,38,Wind blowing from the west,6,,,20–30%., ,,,50.0,60.0,,,"2500 or more, or no clouds.",,,16.0,30.0,,,,,,,
24.04.2021 05:00,53.0,758.1,758.6,0.5,37,Wind blowing from the west,7,10,,no clouds, ,,,,,,,,,,16.0,27.0,,,,,,,
24.04.2021 02:00,51.0,757.6,758.2,-0.3,39,Wind blowing from the south-west,5,,,no clouds, ,,,,57.0,,,,,,16.0,27.0,,,,,,,
23.04.2021 23:00,55.0,757.9,758.3,1.5,29,Wind blowing from the west,5,,,no clouds, ,,,,,,,,,,16.0,23.0,,,,,,,
23.04.2021 20:00,57.0,756.4,756.8,1.3,25,Wind blowing from the west,8,11,,no clouds, ,,,38.0,60.0,,,,,,16.0,21.0,,,,,,,
23.04.2021 17:00,60.0,755.1,755.5,-0.7,23,Wind blowing from the west,8,12,,20–30%., ,,,,,,,2000-2500,,,16.0,22.0,,,,,,,
23.04.2021 14:00,57.0,755.8,756.3,-0.6,27,Wind blowing from the west-northwest,12,17,,50%, ,,,43.0,57.0,,,2000-2500,,,16.0,23.0,,,,,,,
23.04.2021 11:00,52.0,756.4,756.9,-0.7,31,Wind blowing from the west,8,15,,50%, ,,,,,,,1500-2000,,,16.0,22.0,,,,,,,
23.04.2021 08:00,43.0,757.1,757.6,0.7,43,Wind blowing from the west,7,13,,20–30%., ,,,,47.0,,,"2500 or more, or no clouds.",,,16.0,22.0,,,,,,,
23.04.2021 05:00,39.0,756.4,756.9,,48,Wind blowing from the west,6,10,,20–30%., ,,,,,,,1500-2000,,,16.0,21.0,,,,,,,
22.04.2021 23:00,41.0,755.8,756.4,1.0,38,Wind blowing from the west-southwest,8,11,,no clouds, ,,,,,,,,,,16.0,17.0,,,,,,,
22.04.2021 20:00,43.0,754.8,755.2,2.3,32,Wind blowing from the west,7,12,,50%, ,,,34.0,47.0,,,1000-1500,,,16.0,15.0,,,,,,,
22.04.2021 17:00,45.0,752.5,753.0,0.2,34,Wind blowing from the west,10,16,,70 – 80%., ,,,,,,,1500-2000,,,16.0,18.0,,,,,,,
22.04.2021 14:00,43.0,752.3,752.8,0.3,35,Wind blowing from the west,11,16,,70 – 80%., ,,,36.0,45.0,,,1500-2000,,,16.0,17.0,,,,,,,
22.04.2021 11:00,42.0,752.0,752.6,0.0,35,Wind blowing from the west,10,15,,70 – 80%., ,,,,,,,1500-2000,,,16.0,16.0,,,,,,,
22.04.2021 08:00,36.0,752.0,752.6,1.3,52,Wind blowing from the west,7,11,,50%, ,,,34.0,,,,1000-1500,,,16.0,20.0,,,,,,,
22.04.2021 05:00,35.0,750.7,751.3,0.7,50,Wind blowing from the west,7,11,,no clouds, ,,,,,,,,,,16.0,18.0,,,,,,,
22.04.2021 02:00,37.0,750.0,750.6,-0.3,57,Wind blowing from the west-northwest,9,12,,20–30%., ,,,37.0,57.0,,,1000-1500,,,16.0,23.0,Trace of precipitation,6,,,,,
21.04.2021 23:00,42.0,750.3,750.7,1.8,62,Wind blowing from the west-northwest,7,11,,100%, ,,,,,,,600-1000,,,16.0,30.0,Trace of precipitation,3,,,,,
21.04.2021 20:00,54.0,748.5,749.1,-0.7,75,Wind blowing from the west-northwest,6,,,100%, ,,,48.0,72.0,,,300-600,,,16.0,46.0,6.0,6,,,,,
21.04.2021 17:00,58.0,749.2,749.6,-1.5,75,Wind blowing from the south-southwest,7,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,1000-1500,,,11.0,50.0,2.0,3,,,,,
21.04.2021 14:00,70.0,750.7,751.2,-3.1,42,Wind blowing from the south-southwest,11,16,,70 – 80%., ,,,56.0,72.0,,,1000-1500,,,16.0,46.0,,,,,,,
21.04.2021 11:00,69.0,753.8,754.4,-2.8,51,Wind blowing from the south,8,13,,20–30%., ,,,,,,,1000-1500,,,16.0,50.0,,,,,,,
21.04.2021 08:00,57.0,756.6,757.0,-1.3,72,Wind blowing from the south,6,,,50%, ,,,48.0,76.0,,,2000-2500,,,16.0,48.0,,,,,,,
21.04.2021 05:00,48.0,757.9,758.3,-1.0,74,Wind blowing from the south,3,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,40.0,,,,,,,
21.04.2021 02:00,53.0,758.9,759.4,-0.2,57,Wind blowing from the south-southeast,3,,,20–30%., ,,,51.0,65.0,,,"2500 or more, or no clouds.",,,16.0,38.0,,,,,,,
20.04.2021 23:00,62.0,759.1,759.6,1.5,46,Wind blowing from the south-west,4,,,50%, ,,,,,,,"2500 or more, or no clouds.",,,16.0,41.0,,,,,,,
20.04.2021 20:00,64.0,757.6,758.2,1.0,48,Wind blowing from the south,6,,,70 – 80%., ,,,51.0,76.0,,,600-1000,,,16.0,44.0,Trace of precipitation,6,,,,,
20.04.2021 17:00,74.0,756.6,757.0,0.2,26,Wind blowing from the west-southwest,7,10,,70 – 80%., ,,,,,,,1500-2000,,,16.0,37.0,Trace of precipitation,3,,,,,
20.04.2021 14:00,75.0,756.4,756.9,-1.5,24,Wind blowing from the west-southwest,9,14,,70 – 80%., ,,,54.0,76.0,,,1500-2000,,,16.0,36.0,,,,,,,
20.04.2021 11:00,69.0,757.9,758.4,-0.5,30,Wind blowing from the south-southwest,8,12,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,36.0,,,,,,,
20.04.2021 08:00,57.0,758.4,758.8,0.8,55,Wind blowing from the west,2,,,20–30%., ,,,51.0,63.0,,,"2500 or more, or no clouds.",,,16.0,41.0,,,,,,,
20.04.2021 05:00,52.0,757.6,758.0,0.3,61,Wind blowing from the west,4,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,39.0,,,,,,,
20.04.2021 02:00,53.0,757.3,757.7,0.2,64,Wind blowing from the west-southwest,3,,,20–30%., ,,,49.0,58.0,,,"2500 or more, or no clouds.",,,16.0,41.0,,,,,,,
19.04.2021 23:00,57.0,757.1,757.7,0.5,55,Wind blowing from the west,3,,,50%, ,,,,,,,"2500 or more, or no clouds.",,,16.0,41.0,,,,,,,
19.04.2021 20:00,58.0,756.6,757.1,0.8,58,Wind blowing from the north-west,4,,,70 – 80%., ,,,49.0,63.0,,,600-1000,,,16.0,43.0,0.3,6,,,,,
19.04.2021 17:00,58.0,755.8,756.4,-0.6,56,Wind blowing from the east-southeast,6,,,70 – 80%., ,,,,,,,2000-2500,,,16.0,42.0,,,,,,,
19.04.2021 14:00,60.0,756.4,756.8,-1.2,53,Wind blowing from the east,6,,,70 – 80%., ,,,50.0,63.0,,,1500-2000,,,16.0,43.0,,,,,,,
19.04.2021 11:00,59.0,757.6,758.0,-0.3,54,Wind blowing from the south-east,5,,,20–30%., ,,,,,,,1000-1500,,,16.0,42.0,,,,,,,
19.04.2021 08:00,55.0,757.9,758.3,0.6,57,Wind blowing from the west-northwest,2,,,50%, ,,,48.0,63.0,,,"2500 or more, or no clouds.",,,16.0,40.0,,,,,,,
19.04.2021 05:00,50.0,757.3,757.9,0.4,66,Wind blowing from the west,3,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,39.0,,,,,,,
19.04.2021 02:00,48.0,756.9,757.3,-0.2,74,"Calm, no wind",0,,,50%, ,,,44.0,52.0,,,2000-2500,,,16.0,40.0,,,,,,,
18.04.2021 23:00,49.0,757.1,757.5,1.0,77,Wind blowing from the east-northeast,2,,,70 – 80%., ,,,,,,,1500-2000,,,16.0,42.0,,,,,,,
18.04.2021 20:00,51.0,756.1,756.4,1.3,66,Wind blowing from the north-east,2,,,50%, ,,,44.0,63.0,,,2000-2500,,,16.0,40.0,,,,,,,
18.04.2021 17:00,61.0,754.8,755.4,0.0,36,Wind blowing from the west-northwest,7,,,70 – 80%., ,,,,,,,1500-2000,,,16.0,34.0,,,,,,,
18.04.2021 14:00,60.0,754.8,755.3,-0.8,38,Wind blowing from the west,6,10,,70 – 80%., ,,,46.0,60.0,,,1500-2000,,,16.0,34.0,,,,,,,
18.04.2021 11:00,53.0,755.6,756.2,-0.5,47,Wind blowing from the north-northwest,3,,,50%, ,,,,,,,1000-1500,,,16.0,33.0,,,,,,,
18.04.2021 08:00,47.0,756.1,756.7,0.5,61,Wind blowing from the north-west,4,,,70 – 80%., ,,,44.0,51.0,,,600-1000,,,16.0,34.0,,,,,,,
18.04.2021 05:00,45.0,755.6,756.1,0.3,66,Wind blowing from the west-northwest,4,,,100%, ,,,,,,,1500-2000,,,16.0,34.0,,,,,,,
18.04.2021 02:00,46.0,755.3,755.9,-0.5,63,Wind blowing from the west-northwest,4,,,100%, ,,,,49.0,,,1500-2000,,,16.0,34.0,,,,,,,
17.04.2021 23:00,48.0,755.8,756.4,0.0,61,Wind blowing from the west-northwest,2,,,100%, ,,,,,,,1500-2000,,,16.0,35.0,,,,,,,
17.04.2021 20:00,48.0,755.8,756.4,1.0,58,Wind blowing from the north-west,3,,,100%, ,,,39.0,51.0,,,1000-1500,,,16.0,34.0,,,,,,,
17.04.2021 17:00,50.0,754.8,755.3,0.2,50,Wind blowing from the north-northwest,5,,,100%, ,,,,,,,1500-2000,,,16.0,32.0,,,,,,,
17.04.2021 14:00,47.0,754.6,755.0,0.0,63,Wind blowing from the north-northwest,5,,,100%, ,,,39.0,47.0,,,600-1000,,,16.0,35.0,1.0,6,,,,,
17.04.2021 11:00,40.0,754.6,755.0,1.0,79,Wind blowing from the north-northwest,6,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,300-600,,,16.0,34.0,0.8,3,,,,,
17.04.2021 08:00,41.0,753.6,754.0,1.6,79,Wind blowing from the north-northwest,7,11,,100%, ,,,37.0,,,,300-600,,,16.0,35.0,0.5,6,,,,,
17.04.2021 05:00,40.0,752.0,752.6,1.3,86,Wind blowing from the north-northwest,5,9,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,6.0,36.0,0.3,3,,,,,
17.04.2021 02:00,40.0,750.7,751.2,0.7,83,Wind blowing from the north,8,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,37.0,44.0,,,300-600,,,12.0,35.0,1.0,6,,,,,
16.04.2021 23:00,39.0,750.0,750.6,1.5,86,Wind blowing from the north-northwest,7,11,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,4.8,35.0,1.0,3,,,,,
16.04.2021 20:00,41.0,748.5,749.0,2.8,86,Wind blowing from the north,11,18,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,41.0,45.0,,,200-300,,,4.8,37.0,2.0,6,,,,,
16.04.2021 17:00,43.0,745.7,746.2,1.0,89,Wind blowing from the north-northeast,11,,,100%, ,,,,,,,300-600,,,11.0,40.0,2.0,3,,,,,
16.04.2021 14:00,42.0,744.7,745.3,-3.8,85,Wind blowing from the north-northwest,11,19,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,35.0,44.0,,,200-300,,,2.0,38.0,22.0,6,,,,,
16.04.2021 11:00,35.0,748.5,748.9,-1.5,85,Wind blowing from the north-northwest,7,,,100%,"Continuous fall of snowflakes, slight at time of observation. ",,,,,,,100-200,,,2.4,31.0,14.0,3,,,,,
16.04.2021 08:00,41.0,750.0,750.5,-1.8,82,Wind blowing from the north-east,12,15,,100%,"Rain, not freezing, continuous, moderate at time of observation. ",,,41.0,,,,300-600,,,4.0,36.0,15.0,6,,,,,
16.04.2021 05:00,42.0,751.8,752.2,-2.0,96,Wind blowing from the north-northeast,5,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,6.0,41.0,8.0,3,,,,,
16.04.2021 02:00,44.0,753.8,754.2,-1.0,96,Wind blowing from the east,6,11,,100%,"Rain, not freezing, continuous, moderate at time of observation. ",,,42.0,49.0,,,300-600,,,6.0,43.0,6.0,6,,,,,
15.04.2021 23:00,43.0,754.8,755.2,-1.3,89,Wind blowing from the east,7,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,600-1000,,,11.0,40.0,4.0,3,,,,,
15.04.2021 20:00,46.0,756.1,756.6,-0.5,71,Wind blowing from the east,7,,,100%, ,,,44.0,51.0,,,600-1000,,,16.0,37.0,Trace of precipitation,6,,,,,
15.04.2021 17:00,48.0,756.6,757.1,-0.5,71,Wind blowing from the east,6,,,100%, ,,,,,,,1500-2000,,,16.0,39.0,Trace of precipitation,3,,,,,
15.04.2021 14:00,50.0,757.1,757.6,-1.0,66,Wind blowing from the east,7,,,100%, ,,,48.0,51.0,,,1000-1500,,,16.0,39.0,,,,,,,
15.04.2021 11:00,50.0,758.1,758.6,-0.3,63,Wind blowing from the east,8,,,100%, ,,,,,,,1000-1500,,,16.0,38.0,,,,,,,
15.04.2021 08:00,49.0,758.4,758.9,-0.5,61,Wind blowing from the east-southeast,4,,,70 – 80%., ,,,44.0,51.0,,,"2500 or more, or no clouds.",,,16.0,36.0,,,,,,,
15.04.2021 05:00,46.0,758.9,759.5,-0.8,77,Wind blowing from the south-east,4,,,70 – 80%., ,,,,,,,1500-2000,,,16.0,39.0,,,,,,,
15.04.2021 02:00,46.0,759.7,760.1,-0.7,73,Wind blowing from the south-southeast,3,,,70 – 80%., ,,,46.0,49.0,,,1000-1500,,,16.0,38.0,,,,,,,
14.04.2021 23:00,48.0,760.4,760.9,-0.2,71,Wind blowing from the south-southeast,4,,,100%, ,,,,,,,"2500 or more, or no clouds.",,,16.0,39.0,,,,,,,
14.04.2021 20:00,49.0,760.6,761.0,-0.3,64,Wind blowing from the east-southeast,5,,,50%, ,,,,51.0,,,1000-1500,,,16.0,37.0,,,,,,,
14.04.2021 17:00,50.0,760.9,761.5,-1.5,66,Wind blowing from the east-southeast,7,,,50%, ,,,,,,,1000-1500,,,16.0,39.0,,,,,,,
14.04.2021 14:00,50.0,762.4,763.0,-1.3,66,Wind blowing from the east,6,,,20–30%., ,,,49.0,51.0,,,1500-2000,,,16.0,39.0,,,,,,,
14.04.2021 11:00,50.0,763.7,764.2,-0.2,61,Wind blowing from the east,5,,,20–30%., ,,,,,,,1000-1500,,,16.0,37.0,,,,,,,
14.04.2021 08:00,49.0,763.9,764.5,0.4,71,Wind blowing from the east,3,,,70 – 80%., ,,,46.0,58.0,,,2000-2500,,,16.0,40.0,Trace of precipitation,6,,,,,
14.04.2021 05:00,47.0,763.5,763.9,0.0,74,Wind blowing from the south-east,2,,,100%,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,1500-2000,,,16.0,39.0,Trace of precipitation,3,,,,,
14.04.2021 02:00,48.0,763.5,763.9,0.8,71,Wind blowing from the south-east,3,,,70 – 80%., ,,,44.0,55.0,,,1500-2000,,,16.0,39.0,,,,,,,
13.04.2021 23:00,48.0,762.7,763.3,0.3,74,Wind blowing from the south-east,3,,,50%, ,,,,,,,2000-2500,,,16.0,40.0,,,,,,,
13.04.2021 20:00,53.0,762.4,762.9,0.2,57,Wind blowing from the south-southwest,2,,,20–30%., ,,,44.0,58.0,,,1000-1500,,,16.0,38.0,,,,,,,
13.04.2021 17:00,52.0,762.2,762.8,0.0,66,Wind blowing from the south-southeast,3,,,50%, ,,,,,,,600-1000,,,16.0,41.0,,,,,,,
13.04.2021 14:00,56.0,762.2,762.8,-0.2,55,Wind blowing from the east-northeast,7,,,70 – 80%., ,,,45.0,58.0,,,1000-1500,,,16.0,40.0,,,,,,,
13.04.2021 11:00,54.0,762.4,762.9,0.7,55,Wind blowing from the north-northeast,8,,,100%, ,,,,,,,600-1000,,,16.0,38.0,,,,,,,
13.04.2021 08:00,51.0,761.7,762.2,1.1,56,Wind blowing from the north,7,10,,20–30%., ,,,43.0,51.0,,,1000-1500,,,16.0,36.0,,,,,,,
13.04.2021 05:00,46.0,760.6,761.2,0.0,61,Wind blowing from the north-northwest,4,,,100%, ,,,,,,,300-600,,,16.0,33.0,,,,,,,
13.04.2021 02:00,44.0,760.6,761.2,0.2,71,Wind blowing from the north,4,,,100%, ,,,43.0,49.0,,,300-600,,,16.0,35.0,,,,,,,
12.04.2021 23:00,44.0,760.4,761.0,0.2,73,Wind blowing from the north-northwest,3,,,70 – 80%., ,,,,,,,300-600,,,16.0,36.0,,,,,,,
12.04.2021 20:00,46.0,760.2,760.6,1.3,77,Wind blowing from the east-northeast,5,,,100%, ,,,45.0,51.0,,,300-600,,,16.0,39.0,Trace of precipitation,6,,,,,
12.04.2021 17:00,47.0,758.9,759.5,0.5,77,Wind blowing from the north-east,8,,,100%, ,,,,,,,200-300,,,16.0,40.0,Trace of precipitation,3,,,,,
12.04.2021 14:00,48.0,758.4,758.9,0.8,74,Wind blowing from the north-east,9,12,,100%,Mist. ,,,45.0,51.0,,,200-300,,,8.0,40.0,Trace of precipitation,6,,,,,
12.04.2021 11:00,48.0,757.6,758.2,1.2,86,Wind blowing from the east-northeast,7,,,100%,"Drizzle, not freezing, continuous, slight at time of observation. ",,,,,,,100-200,,,2.0,44.0,Trace of precipitation,3,,,,,
12.04.2021 08:00,49.0,756.4,757.0,0.6,74,Wind blowing from the north-east,7,,,70 – 80%., ,,,45.0,,,,1000-1500,,,16.0,41.0,Trace of precipitation,6,,,,,
12.04.2021 05:00,45.0,755.8,756.3,0.0,80,Wind blowing from the north-northeast,4,,,100%, ,,,,,,,100-200,,,16.0,39.0,Trace of precipitation,3,,,,,
12.04.2021 02:00,46.0,755.8,756.3,-0.6,77,Wind blowing from the north,4,,,100%, ,,,45.0,,,,200-300,,,16.0,39.0,,,,,,,
11.04.2021 23:00,45.0,756.4,756.8,0.3,83,Wind blowing from the north-east,3,,,100%, ,,,,,,,200-300,,,16.0,40.0,,,,,,,
11.04.2021 20:00,45.0,756.1,756.7,0.3,83,Wind blowing from the east-northeast,5,,,100%, ,,,45.0,49.0,,,200-300,,,16.0,40.0,,,,,,,
11.04.2021 17:00,46.0,755.8,756.3,-0.3,79,Wind blowing from the east-northeast,7,,,100%, ,,,,,,,200-300,,,12.0,40.0,,,,,,,
11.04.2021 14:00,47.0,756.1,756.5,0.0,80,Wind blowing from the north-east,8,11,,100%, ,,,47.0,60.0,,,200-300,,,16.0,41.0,,,,,,,
11.04.2021 11:00,49.0,756.1,756.4,0.0,77,Wind blowing from the north-east,9,,,100%, ,,,,,,,200-300,,,12.0,42.0,,,,,,,
11.04.2021 08:00,47.0,756.1,756.5,1.5,83,Wind blowing from the north,7,,,100%, ,,,47.0,78.0,,,100-200,,,12.0,42.0,,,,,,,
11.04.2021 05:00,49.0,754.6,755.2,0.3,90,Wind blowing from the north-northeast,6,,,100%, ,,,,,,,100-200,,,16.0,46.0,,,,,,,
11.04.2021 02:00,60.0,754.3,754.8,-0.3,72,Wind blowing from the south-west,5,,,no clouds, ,,,48.0,69.0,,,,,,16.0,51.0,,,,,,,
10.04.2021 23:00,62.0,754.6,755.0,-1.0,67,Wind blowing from the south-west,4,,,50%, ,,,,,,,2000-2500,,,16.0,51.0,,,,,,,
10.04.2021 20:00,69.0,755.6,756.0,-0.2,55,Wind blowing from the south-southwest,7,11,,20–30%., ,,,48.0,78.0,,,2000-2500,,,16.0,52.0,,,,,,,
10.04.2021 17:00,75.0,755.8,756.4,-2.3,43,Wind blowing from the south-west,5,,,50%, ,,,,,,,1500-2000,,,16.0,51.0,,,,,,,
